Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
PU_Oct-Dec2017_CT-PU-01-06,-76.33569,1.79264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,9.5
PU_Oct-Dec2017_CT-PU-02-06,-76.34472,1.80606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-07,-76.33939,1.79753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,9.5
PU_Oct-Dec2017_CT-PU-02-07,-76.34858,1.80564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-01-08,-76.34406,1.79703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
PU_Oct-Dec2017_CT-PU-02-08,-76.34028,1.82436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-01-10,-76.3395,1.79267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
PU_Oct-Dec2017_CT-PU-02-10,-76.33969,1.8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-01-12,-76.33081,1.78792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,6.5
PU_Oct-Dec2017_CT-PU-02-12,-76.33961,1.81536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-01-13,-76.33511,1.78831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
PU_Oct-Dec2017_CT-PU-02-13,-76.33067,1.77844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
PU_Oct-Dec2017_CT-PU-01-14,-76.33961,1.7831,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
PU_Oct-Dec2017_CT-PU-02-14,-76.33036,1.77433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,1.5
PU_Oct-Dec2017_CT-PU-01-15,-76.33961,1.77908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,10
PU_Oct-Dec2017_CT-PU-02-15,-76.33517,1.7691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,8.5,1
PU_Oct-Dec2017_CT-PU-01-16,-76.35797,1.78786,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.5,10,10,10,1.5
PU_Oct-Dec2017_CT-PU-02-16,-76.34092,1.77042,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.5,10,10,8.5,1
PU_Oct-Dec2017_CT-PU-01-17,-76.35375,1.78786,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.5,10,10,10,1.5
PU_Oct-Dec2017_CT-PU-02-17,-76.33992,1.76583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,8.5,1
PU_Oct-Dec2017_CT-PU-01-18,-76.33931,1.80103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,10,10,10,7.5
PU_Oct-Dec2017_CT-PU-02-18,-76.34519,1.75636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,8.5,1
PU_Oct-Dec2017_CT-PU-01-21,-76.35339,1.79242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,1.5
PU_Oct-Dec2017_CT-PU-02-21,-76.34444,1.76086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-22,-76.34889,1.80175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-02-22,-76.34056,1.76108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-23,-76.34419,1.8015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-02-23,-76.33542,1.77425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-24,-76.34972,1.79711,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,10,10,10,8.5
PU_Oct-Dec2017_CT-PU-02-24,-76.33975,1.77492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-25,-76.34403,1.78925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
PU_Oct-Dec2017_CT-PU-02-25,-76.3491,1.76075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-26,-76.33106,1.79694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,2.5
